ID,initalWeight,experimentType,odorant+concentration,trial,totalCorrect,totalAttempts,controlCorrect,controlAttempts,datetime
2148,18.1,100-0,pinene(7) 1,1,14,35,4,4,2.1.2021 19:51:43
2148,18.5,100-0,pinene(7) 0,10,40,92,8,11,2.18.2021 14:04:13
2148,17.9,100-0,vanillin(7) 1,11,31,82,6,8,2.24.2021 14:18:45
2148,17.9,100-0,vanillin(7) 1,12,35,105,5,12,2.25.2021 18:01:48
2148,18.0,100-0,vanillin 1,13,32,97,2,10,2.26.2021 15:33:24
2148,17.2,100-0,pinene(7) 1,2,29,59,3,5,2.2.2021 17:59:37
2148,16.9,100-0,pinene(7) 1,3,39,72,4,9,2.3.2021 18:15:11
2148,16.7,100-0,pinene(7) 1,4,40,81,4,9,2.4.2021 18:14:03
2148,18.2,100-0,pinene(7) 1,5,47,96,6,11,2.5.2021 16:59:03
2148,17.4,100-0,pinene(7) 1,6,56,93,7,11,2.9.2021 17:43:43
2148,17.2,100-0,pinene(7) 1,7,59,90,6,12,2.10.2021 17:05:51
2148,17.2,100-0,pinene(7) 1,8,84,100,7,12,2.11.2021 16:27:38
2148,16.9,100-0,pinene(7) 1,9,93,99,5,10,2.12.2021 16:53:28
2151,21.81,100-0,vanillin(7) 1,1,20,33,1,3,2.25.2021 19:58:41
2151,21.11,100-0,vanillin(7) 1,2,9,18,2,3,2.26.2021 11:51:50
2151,25.0,100-0,vanillin 1,3,7,8,0,0,3.1.2021 12:44:03
2151,23.4,100-0,vanillin 1,4,8,15,1,2,3.2.2021 11:39:14
2151,22.5,100-0,Vanillin 1,5,2,9,0,1,3.3.2021 12:43:06
2152,16.6,100-0,pinene(7) 1,1,15,34,3,3,2.11.2021 12:14:30
2152,18.04,100-0,vanillin(7) 1,2,11,18,2,4,3.2.2021 10:33:56
2152,18.31,100-0,2-PE 1,3,33,37,2,4,3.2.2021 10:33:56
2152,18.8,100-0,2-PE 1,4,71,94,4,9,3.1.2021 11:53:26
2152,18.7,100-0,2-PE .01,5,89,101,8,11,3.2.2021 12:27:55
2152,18.5,100-0,2-PE .01,6,106,119,8,14,3.3.2021 11:53:25
